country,countryname,sentence_id,text,date,party,partyname,text_id
53,Ireland,1,Aontú is Ireland’s fastest growing political movement,202002,53952,Aontú,53952_202002_1
53,Ireland,2,"We stand for Economic Justice, Irish unity and a society where every individual is valued.",202002,53952,Aontú,53952_202002_2
53,Ireland,3,Our country should not be a place where anyone is deemed of less innate worth for any reason.,202002,53952,Aontú,53952_202002_3
53,Ireland,4,"We seek to break the stifling group-think that has taken over Irish politics in recent years, and the culture of looking after elites at the expense of the many.",202002,53952,Aontú,53952_202002_4
53,Ireland,5,There is no insurmountable reason why our communities are not thriving and why our economy is so imbalanced.,202002,53952,Aontú,53952_202002_5
53,Ireland,6,"Aontú seeks a future where the economy serves the needs of people, rather than people serving the 'needs' of the economy.",202002,53952,Aontú,53952_202002_6
53,Ireland,7,The establishment parties constitute a political cartel.,202002,53952,Aontú,53952_202002_7
53,Ireland,8,Fianna Fáil and Fine Gael are mirror images of each other.,202002,53952,Aontú,53952_202002_8
53,Ireland,9,Voting for one equates to voting for the other.,202002,53952,Aontú,53952_202002_9
53,Ireland,10,There is no substantive difference between them.,202002,53952,Aontú,53952_202002_10
53,Ireland,11,They have carved up political power in Ireland between themselves for far too long.,202002,53952,Aontú,53952_202002_11
53,Ireland,12,"Some other parties, like Labour and the Greens, have acted as mudguards for Fianna Fáil and Fine Gael, enabling them to exercise power in return for ministerial seats, but with nothing to show in terms of policy results.",202002,53952,Aontú,53952_202002_12
53,Ireland,13,Aontú represents a long-term and growing challenge to the political establishment.,202002,53952,Aontú,53952_202002_13
53,Ireland,14,We need your support to mount that challenge.,202002,53952,Aontú,53952_202002_14
53,Ireland,15,"As we approach the centenary of the partition of Ireland, it is abundantly clear that partition has stunted our nation's collective potential and ruptured society north and south.",202002,53952,Aontú,53952_202002_15
53,Ireland,16,"The case for unity is growing stronger and stronger, especially in the context of Brexit.",202002,53952,Aontú,53952_202002_16
53,Ireland,17,Aontú is unambiguously committed to a reunited and independent Ireland.,202002,53952,Aontú,53952_202002_17
53,Ireland,18,We believe that measures to pave the way for Irish unity must be set in place across Irish society.,202002,53952,Aontú,53952_202002_18
53,Ireland,19,We have consistently called for the establishment of a New Ireland Forum to discuss our nation's future.,202002,53952,Aontú,53952_202002_19
53,Ireland,20,"We have taken the practical steps of launching our All-Ireland Representation Bill, with a view to ensuring 32-county representation in the Dáil.",202002,53952,Aontú,53952_202002_20
53,Ireland,21,"101 years since the establishment of the all-Ireland Dáil, we believe that the end of partition is long overdue and that its demise may soon occur, despite the wishes of the establishment political parties.",202002,53952,Aontú,53952_202002_21
53,Ireland,22,Our progress to date,202002,53952,Aontú,53952_202002_22
53,Ireland,23,Thousands of people in every town and village across the country are joining our new party.,202002,53952,Aontú,53952_202002_23
53,Ireland,24,New cumainn are forming on a regular basis.,202002,53952,Aontú,53952_202002_24
53,Ireland,25,"Aontú had some notable successes in local elections with the election of Aontú deputy leader Dr. Anne McCloskey (Derry), Cllr Sarah O’Reilly (Cavan), Cllr Jim Codd (Wexford) and Cllr Emer Tóibín (Navan).",202002,53952,Aontú,53952_202002_25
53,Ireland,26,Cllr Denise Mullen (Dungannon) joined Aontú recently.,202002,53952,Aontú,53952_202002_26
53,Ireland,27,"In November 2019 Aontú contested the Cork North Central and Wexford by-elections and six Aontú candidates contested the December general election in the north, solidifying our position on the national stage.",202002,53952,Aontú,53952_202002_27
53,Ireland,28,We are working hard to continue to offer a genuine and imaginative alternative at the ballot box to those who realise Irish politics is failing to provide for the needs of both the community as a whole and individual citizens.,202002,53952,Aontú,53952_202002_28
53,Ireland,29,Ireland is a divided country in more ways than one,202002,53952,Aontú,53952_202002_29
53,Ireland,30,"An overheating, congested capital where housing and services are out of reach;",202002,53952,Aontú,53952_202002_30
53,Ireland,31,"Sprawling commuter belts where mothers and fathers drop their kids off at 7.30 in the morning and fight up to 3 hours of traffic every day just to make ends meet; Whole swathes of Ireland, particularly in the west, are emptying of young people;",202002,53952,Aontú,53952_202002_31
53,Ireland,32,"Cost of living is causing harm to individuals, families and communities;",202002,53952,Aontú,53952_202002_32
53,Ireland,33,Local business is being hammered by massive input costs;,202002,53952,Aontú,53952_202002_33
53,Ireland,34,Vested interests in the insurance and legal industry are protected.,202002,53952,Aontú,53952_202002_34
53,Ireland,35,Ireland's broken political system is a significant root cause for the problems facing our society.,202002,53952,Aontú,53952_202002_35
